Author,Name,Format,Price,Rating,Url
Михаил Булгаков,Дьяволиада,аудиокнига,149.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/dyavoliada-68335381/
Михаил Булгаков,A dog's heart (A Monstrous Story) / Собачье сердце (Чудовищная история). Книга для чтения на английском языке,текст,282.0,1.0,https://www.litres.ru/book/mihail-bulgakov/a-dog-s-heart-a-monstrous-story-sobache-serdce-chudovischn-57400071/
Сергей Булгаков,Православие,аудиокнига,129.0,2.0,https://www.litres.ru/audiobook/sergey-bulgakov/pravoslavie-2347945/
Олег Лекманов,М. Булгаков. «Мастер и Маргарита»,аудиокнига,99.0,2.0,https://www.litres.ru/audiobook/oleg-lekmanov/m-bulgakov-master-i-margarita-39283665/
Андрей Леонидович Булгаков; Анна Валентиновна Алешина,Информатика. 10-11 класс. Методическое пособие. (Общее образование). Методическое пособие.,текст,270.0,0.0,https://www.litres.ru/book/andrey-leonidovich-b/informatika-10-11-klass-metodicheskoe-posobie-obschee-69405001/
Михаил Булгаков,Записки юного врача,аудиокнига,149.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/zapiski-unogo-vracha-67273716/
Михаил Булгаков,Говорящая собака,аудиокнига,253.0,0.0,https://www.litres.ru/audiobook/mihail-bulgakov/govoryaschaya-sobaka-282182/
Михаил Булгаков,Тьма египетская,аудиокнига,59.0,0.0,https://www.litres.ru/audiobook/mihail-bulgakov/tma-egipetskaya-68974698/
Сборник статей,Сергей Николаевич Булгаков,текст,396.0,0.0,https://www.litres.ru/book/raznoe-65383/sergey-nikolaevich-bulgakov-65093837/
Михаил Булгаков,Сатирические рассказы и фельетоны,аудиокнига,229.0,1.0,https://www.litres.ru/audiobook/mihail-bulgakov/satiricheskie-rasskazy-i-feletony-4895754/
Борис Булгаков,Карлос Кастанеда. Жизнь и смерть Воина,текст,229.0,3.4,https://www.litres.ru/book/boris-bulgakov/karlos-kastaneda-zhizn-i-smert-voina-18977867/
Андрей Викторович Яценко,Краткий анализ романа «Мастер и Маргарита» Михаила Булгакова. Книга первая,текст,149.0,0.0,https://www.litres.ru/book/andrey-viktorovich-y/kratkiy-analiz-romana-master-i-margarita-mihaila-bulg-65551766/
Андрей Викторович Яценко,Краткий анализ романа «Мастер и Маргарита» Михаила Булгакова. Книга вторая,текст,149.0,0.0,https://www.litres.ru/book/andrey-viktorovich-y/kratkiy-analiz-romana-master-i-margarita-mihaila-bulg-67906623/
Михаил Булгаков,Собачье сердце,текст,,0.0,https://www.litres.ru/book/mihail-bulgakov/sobache-serdce-69482284/
Михаил Булгаков,Вьюга,аудиокнига,89.0,6.0,https://www.litres.ru/audiobook/mihail-bulgakov/vuga-6604167/
Михаил Булгаков,Пропавший глаз,аудиокнига,89.0,3.0,https://www.litres.ru/audiobook/mihail-bulgakov/propavshiy-glaz-6604182/
Ольга Этингоф,"Иерусалим, Владикавказ и Москва в биографии и творчестве М. А. Булгакова",текст,420.0,1.0,https://www.litres.ru/book/olga-etingof-1854694/ierusalim-vladikavkaz-i-moskva-v-biografii-i-tvorches-42587157/
